4f2.(3H<4>).6d<5/2>       | (4,5/2)   | 11/2 |         101165.33    |            
                          |           |  7/2 |         101446.27    |            
                          |           |  5/2 |         101665.58    |            
                          |           | 13/2 |         101680.38    |            
                          |           |      |                      |             
4f2.(3H<5>).7s<1/2>       | (5,1/2)   | 11/2 |         102435.67    |            
                          |           |  9/2 |         102484.66    |            
                          |           |      |                      |             
4f2.(3H<5>).6d<3/2>       | (5,3/2)   | 11/2 |         102617.24    |            
                          |           |  9/2 |         102830.43    |            
                          |           | 13/2 |         102981.94    |            
                          |           |  7/2 |         103308.53    |            
                          |           |      |                      |             
4f2.(3H<5>).6d<5/2>       | (5,5/2)   |  9/2 |         103335.06    |            
                          |           | 11/2 |         103344.35    |            
                          |           | 15/2 |         103484.19    |            
                          |           | 13/2 |         103805.38    |            
                          |           |  7/2 |         103895.83    |            
                          |           |      |                      |             
4f2.(3H<6>).7s<1/2>       | (6,1/2)   | 13/2 |         104598.99    |            
                          |           | 11/2 |         104788.68    |            
                          |           |      |                      |             
4f2.(3H<6>).6d<3/2>       | (6,3/2)   | 11/2 |         104904.55    |            
                          |           | 13/2 |         105019.06    |            
                          |           |      |                      |             
4f2.(3H<6>).6d<5/2>       | (6,5/2)   | 15/2 |         105049.72    |            
                          |           | 11/2 |         105450.18    |            
                          |           |      |                      |             
4f2.(3H<6>).6d<3/2>       | (6,3/2)   |  9/2 |         105566.62    |            
                          |           |      |                      |             
4f2.(3H<6>).6d<5/2>       | (6,5/2)   | 13/2 |         105632.16    |            
                          |           |      |                      |             
4f2.(3F<3>).7s<1/2>       | (3,1/2)   |  7/2 |         106665.07    |            
                          |           |  5/2 |         106745.65    |            
                          |           |      |                      |             
4f2.(3F<4>).7s<1/2>       | (4,1/2)   |  9/2 |         107081.94    |            
                          |           |      |                      |             
4f2.(3F<3>).6d<3/2>       | (3,3/2)   |  7/2 |         107299.07    |            
                          |           |      |                      |             
4f2.(3F<4>).6d<3/2>       |           |  9/2 |         107854.46    |            
                          |           |      |                      |             
4f2.(3F<4>).6d<5/2>       | (4,5/2)   | 11/2 |         108559.40    |            
                          |           |      |                      |             
