3d4.(b 3P).4p          | v 4D*  |  7/2 |              90218.405     | L18847,L7185
                       |        |  5/2 |              90258.186     | L18847,L7185
                       |        |      |                            |              
3d4.(b 3F).4p          | v 4F*  |  3/2 |              90262.119     | L18847,L7185
                       |        |  5/2 |              90441.753     | L18847,L7185
                       |        |      |                            |              
3d4.(b 3P).4p          | v 4D*  |  3/2 |              90450.620     | L18847,L7185
                       |        |  1/2 |              90475.364     | L18847,L7185
                       |        |      |                            |              
3d4.(b 3F).4p          | v 4F*  |  7/2 |              90489.831     | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4d            | e 4F   |  3/2 |              90512.5109    |       L18847
                       |        |      |                            |              
3d4.(b 3F).4p          | v 4F*  |  9/2 |              90588.5539    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4d            | e 4F   |  5/2 |              90608.9577    |       L18847
                       |        |      |                            |              
3d4.(b 3F).4p          | t 2F*  |  5/2 |              90706.824     | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4d            | e 4F   |  7/2 |              90725.8123    |       L18847
                       |        |      |                            |              
3d4.(b 3F).4p          | t 2F*  |  7/2 |              90830.794     | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4d            | e 4F   |  9/2 |              90850.9636    |       L18847
                       |        |      |                            |              
3d4.(b 3F).4p          | w 4G*  |  5/2 |              91078.704     |       L18847
                       |        |  7/2 |              91122.844     | L18847,L7185
                       |        |  9/2 |              91189.4660    | L18847,L7185
                       |        | 11/2 |              91291.9657    |       L18847
                       |        |      |                            |              
3d4.(b 3P).4p          | t 2D*  |  5/2 |              91426.036     | L18847,L7185
                       |        |  3/2 |              91556.359     | L18847,L7185
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | t 2G*  |  7/2 |              91752.176     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6S   |  5/2 |              91955.3340    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | t 2G*  |  9/2 |              92144.162     |       L18847
                       |        |      |                            |              
3d3.(4P).4s.4p.(3P*)   | x 6P*  |  3/2 |              92234.942     |       L18847
                       |        |  5/2 |              92417.9556    |       L18847
                       |        |      |                            |              
3d4.(b 3P).4p          | y 4S*  |  3/2 |              92612.201     | L18847,L7185
                       |        |      |                            |              
3d3.(4P).4s.4p.(3P*)   | x 6P*  |  7/2 |              92653.2667    |       L18847
                       |        |      |                            |              
3d4.(5D).5p            | 6F*    |  1/2 |              92988.8116    |       L18847
                       |        |  3/2 |              93047.2873    |       L18847
                       |        |  5/2 |              93143.8531    |       L18847
                       |        |  7/2 |              93276.8352    |       L18847
                       |        |  9/2 |              93444.1417    |       L18847
                       |        |      |                            |              
3d4.(b 3F).4p          | t 4D*  |  7/2 |              93531.6906    | L18847,L7185
