3d4.(3P1).4s.4p.(3P*) | y 5S*  |   2 |            49822.5403    |     L18327,L7185
                      |        |     |                          |                  
                      | e 3F   |   4 |            49863.458     |           L18327
                      |        |     |                          |                  
3d5.(4D).4p           | s 5F*  |   1 |            50018.831     |     L18327,L7185
                      |        |   2 |            50057.53      |     L18327,L7185
                      |        |   3 |            50102.07      |     L18327,L7185
                      |        |     |                          |                  
3d5.(4D).4p           | w 3D*  |   1 |            50105.4904    |     L18327,L7185
                      |        |   2 |            50184.191     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).7p           | 7P*    |   3 |            50184.4       |           L18327
                      |        |   4 |            50196.84      |       L18327c152
                      |        |     |                          |                  
3d5.(4D).4p           | s 5F*  |   4 |            50210.70      |     L18327,L7185
                      |        |   5 |            50253.295     |     L18327,L7185
                      |        |     |                          |                  
3d5.(4D).4p           | w 3D*  |   3 |            50264.4589    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4D).4p           | u 5D*  |   4 |            50557.4907    |     L18327,L7185
                      |        |   3 |            50628.0474    |     L18327,L7185
                      |        |   2 |            50654.7121    |     L18327,L7185
                      |        |   0 |            50661.150     |     L18327,L7185
                      |        |   1 |            50662.729     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 3F*  |   2 |            50890.077     |     L18327,L7185
                      |        |   3 |            50950.3326    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).8s           | h 5S   |   2 |            51035.630     |           L18327
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 3F*  |   4 |            51059.7045    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4D).4p           | w 3P*  |   0 |            51176.840     |     L18327,L7185
