                     |        |     |                   |                    |                                                         |
3d5.(a 2G).4p        | 3F*    |   3 |   140693.38       |              0.09  |  44                        :    25  3d5.(4F).4p    3F*  |      L11223
                     |        |   2 |   140750.86       |              0.10  |  42                        :    30  3d5.(4F).4p    3F*  |      L11223
                     |        |   4 |   141002.97       |              0.09  |  46                        :    23  3d5.(4F).4p    3F*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4p          | 3D*    |   2 |   141399.18       |              0.10  |  67                        :     7  3d5.(a 2G).4p  3F*  |      L11223
                     |        |   3 |   141466.65       |              0.09  |  65                        :     7  3d5.(4D).4p    3D*  |      L11223
                     |        |   1 |   141469.38       |              0.10  |  84                        :     6  3d5.(4D).4p    3D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2H).4p          | 1I*    |   6 |   141539.28       |              0.12  |  87                        :     6  3d5.(2H).4p    3H*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4p          | 3F*    |   4 |   142046.98       |              0.10  |  52                        :    23  3d5.(a 2G).4p  3F*  |      L11223
                     |        |   3 |   142312.79       |              0.10  |  53                        :    23  3d5.(a 2G).4p  3F*  |      L11223
                     |        |   2 |   142534.85       |              0.10  |  49                        :    23  3d5.(a 2G).4p  3F*  |      L11223
                     |        |     |                   |                    |                                                         |
