4d6.(5D).5d          | 6F     | 11/2 |           48404.50    |      L14280
                     |        |  9/2 |           48418.21    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6D     |  7/2 |           48462.94    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6P     |  5/2 |           48572.10    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6G     | 13/2 |           48666.07    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4D     |  7/2 |           48784.86    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4G     | 11/2 |           48789.50    |      L14280
                     |        |      |                       |             
4d6.(1I).5p          | 2K*    | 15/2 |           48851.61    |      L14280
                     |        |      |                       |             
4d6.(3G).5p          | 2G*    |  9/2 |           48881.75    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4D     |  5/2 |           48944.13    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6D     |  9/2 |           48977.03    | L149,L14280
                     |        |      |                       |             
4d5.(4F).5s.(5F).5p  | 6D*    |  9/2 |           49098.66    | L149,L14280
                     |        |      |                       |             
                     | 3*     |  7/2 |           49130.01    | L149,L14280
                     |        |      |                       |             
4d6.(1I).5p          | 2H*    | 11/2 |           49176.29    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6F     |  7/2 |           49245.95    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4S     |  3/2 |           49328.56    |      L14280
                     |        |      |                       |             
4d5.(6S).5s.(5S).6s  | 6S     |  5/2 |           49337.51    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4G     |  9/2 |           49340.50    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6G     | 11/2 |           49384.01    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6P     |  3/2 |           49433.18    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6G     |  7/2 |           49565.96    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6D     |  5/2 |           49566.11    |      L14280
                     |        |      |                       |             
                     | 4      |  7/2 |           49573.35?   |        L149
                     |        |      |                       |             
4d6.(5D).5d          | 6G     |  9/2 |           49583.27    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4D     |  3/2 |           49735.08    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4G     |  7/2 |           49813.62    | L149,L14280
                     |        |      |                       |             
4d6.(1I).5p          | 2H*    |  9/2 |           49815.88    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 6G     |  5/2 |           49938.60    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4F     |  9/2 |           49941.86    |      L14280
                     |        |      |                       |             
4d6.(1I).5p          | 2I*    | 13/2 |           50290.10    |      L14280
                     |        | 11/2 |           50336.22    |      L14280
                     |        |      |                       |             
4d6.(5D).5d          | 4F     |  7/2 |           50338.28    |      L14280
                     |        |      |                       |             
4d5.(4G).5s.(3G).5p  | 2H*    | 11/2 |           50777.55    |      L14280
                     |        |  9/2 |           51126.84    |      L14280
                     |        |      |                       |             
4d5.(2I).5s.(3I).5p  | 4H*    | 13/2 |           51163.67    |      L14280
                     |        |      |                       |             
4d6.(5D).6p          | 6F*    |  7/2 |           51204.28    |      L14280
                     |        |      |                       |             
4d5.(2I).5s.(3I).5p  | 4H*    | 11/2 |           51221.24    | L149,L14280
                     |        |  7/2 |           51423.70    | L149,L14280
                     |        |  9/2 |           51442.08    |      L14280
                     |        |      |                       |             
4d5.(2F1).5s.(3F).5p | 4F*    |  9/2 |           52350.24    | L149,L14280
                     |        |      |                       |             
4d5.(2H).5s.(3H).5p  | 4G*    | 11/2 |           53795.60    |      L14280
                     |        |      |                       |             
                     | 1      |  5/2 |           53945.19    |        L149
                     |        |      |                       |             
4d5.(2H).5s.(3H).5p  | 4I*    | 11/2 |           54948.66    |      L14280
                     |        |      |                       |             
4d5.(2G2).5s.(3G).5p | 4H*    | 13/2 |           55066.64    |      L14280
                     |        |      |                       |             
                     | 9      | 11/2 |           56118.36    |        L149
