4f2.(3H<6>).6p<3/2>        | (6,3/2)*  | 15/2 |          30846.582    |            
                           |           |      |                       |             
4f.5d.(1D*).6p             |           |  3/2 |          30961.518    |            
                           |           |      |                       |             
4f2.(3F<3>).6p<1/2>        | (3,1/2)*  |  5/2 |          31024.076    |            
                           |           |      |                       |             
4f.5d.(1D*).6p             |           |  1/2 |          31032.611    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  5/2 |          31043.110    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             |           |  9/2 |          31075.603    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             | 4G        | 11/2 |          31089.731    |            
                           |           |      |                       |             
4f2.(3H<5>).6p<3/2>        | *         |  7/2 |          31130.983    |            
                           |           |      |                       |             
4f2.(3H<6>).6p<3/2>        | (6,3/2)*  | 11/2 |          31151.534    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             | 4H        | 13/2 |          31155.623    |            
                           |           |      |                       |             
4f.5d.(3D*).6p             |           |  3/2 |          31170.645    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  7/2 |          31207.927    |            
                           |           |      |                       |             
4f.5d.(1D*).6p             |           |  5/2 |          31234.878    |            
                           |           |      |                       |             
4f2.(3H<6>).6p<3/2>        | (6,3/2)*  | 13/2 |          31340.393    |            
                           |           |      |                       |             
4f2.(3F<4>).6p<1/2>        | (4,1/2)*  |  7/2 |          31344.828    |            
                           |           |      |                       |             
