4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<1/2> | (7,1/2)    |         15/2 |       36860.75    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.7s.(3S<1>)             | (13/2,1)*  |         13/2 |       36873.76    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<3/2> | (8,3/2)    |         13/2 |       36895.69    |     L3974
                                           |            |         15/2 |       36958.59    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.7s.(3S<1>)             | (13/2,1)*  |         11/2 |       37029.70    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<3/2> | (7,3/2)    |         15/2 |       37324.64    |     L3974
                                           |            |              |                   |           
                                           |            |         17/2 |       37356.81    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<3/2> | (7,3/2)    |         17/2 |       37388.73    |     L3974
                                           |            |              |                   |           
                                           |            | 13/2 or 15/2 |       37404.14    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<3/2> | (7,3/2)    |         13/2 |       37404.27    |     L3974
                                           |            |         11/2 |       37438.53    |     L3974
                                           |            |              |                   |           
                                           |            | 13/2 or 15/2 |       37481.94    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       37623.09    |     L3974
                                           |            |              |                   |           
                                           |            |         15/2 |       37651.71    |     L3974
                                           |            |              |                   |           
                                           |            | 13/2 or 15/2 |       37865.77    |     L3974
                                           |            |              |                   |           
                                           |            | 13/2 or 15/2 |       38244.65    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.7s.(1S<0>)             | (13/2,0)*  |         13/2 |       38397.18    |     L3974
                                           |            |              |                   |           
                                           |            |         13/2 |       38513.79    |     L3974
                                           |            |              |                   |           
                                           |            |         13/2 |       38828.16    |     L3974
                                           |            |              |                   |           
                                           |            | 13/2 or 15/2 |       39098.76    |     L3974
                                           |            |              |                   |           
                                           |            | 13/2 or 15/2 |       39171.93    |     L3974
                                           |            |              |                   |           
                                           |            |         13/2 |       39554.49    |     L3974
                                           |            |              |                   |           
                                           |            |         15/2 |       39676.57    |     L3974
                                           |            |              |                   |           
                                           |            |         15/2 |       39904.45    |     L3974
